10,1000,10.0,10.0,17.0,17.0
10,5000,10.0,17.0,17.0,17.0
10,10000,10.0,10.0,17.0,17.0
10,50000,17.0,17.0,17.0,17.0
10,100000,17.0,17.0,17.0,17.0
10,500000,10.0,10.0,17.0,17.0
10,100000,17.0,10.0,17.0,17.0
20,1000,20.0,20.0,35.0,35.0
20,5000,20.0,20.0,35.0,35.0
20,10000,20.0,35.0,35.0,35.0
20,50000,20.0,35.0,35.0,35.0
20,100000,20.0,20.0,35.0,35.0
20,500000,35.0,20.0,35.0,35.0
20,100000,20.0,20.0,35.0,35.0
30,1000,30.0,53.0,53.0,53.0
30,5000,30.0,30.0,53.0,53.0
30,10000,30.0,53.0,53.0,53.0
30,50000,30.0,30.0,53.0,53.0
30,100000,30.0,53.0,53.0,53.0
30,500000,30.0,30.0,53.0,53.0
30,100000,30.0,53.0,53.0,53.0
40,1000,40.0,40.0,71.0,40.0
40,5000,40.0,40.0,40.0,71.0
40,10000,40.0,40.0,71.0,40.0
40,50000,40.0,40.0,71.0,40.0
40,100000,40.0,40.0,71.0,71.0
40,500000,40.0,40.0,71.0,71.0
40,100000,40.0,40.0,71.0,40.0
50,1000,50.0,50.0,89.0,49.0
50,5000,50.0,50.0,89.0,50.0
50,10000,50.0,50.0,89.0,50.0
50,50000,50.0,50.0,89.0,89.0
50,100000,50.0,50.0,89.0,89.0
50,500000,50.0,89.0,50.0,50.0
50,100000,50.0,50.0,89.0,89.0
